Numbers	Names	Types	No_Tones	Register	Harmonicity	Roughness	Sharpness
236	"B-C#-D#-F#-G#"	"pentatonic"	5	"low"	0.598276036930133	0.474823114095981	1.06595550609526
237	"C-D-E-G-A"	"pentatonic"	5	"low"	0.749070987842447	0.977966297761369	0.874517822929113
238	"C#-D#-F-G#-A#"	"pentatonic"	5	"low"	0.75774523670593	0.431764519264408	0.868053692504655
239	"D-E-F#-A-B"	"pentatonic"	5	"low"	0.722019925194941	0.638622624273924	0.912485272622153
240	"D#-F-G-A#-C"	"pentatonic"	5	"low"	0.742921205103408	0.611802300009134	0.922612566904858
241	"E-F#-G#-B-C#"	"pentatonic"	5	"low"	0.69858645016208	0.407837068456278	0.930468115627914
242	"F-G-A-C-D"	"pentatonic"	5	"low"	0.718722828543514	0.443586619755909	0.971100416336498
243	"G-A#-D-F-A"	"m9"	5	"low"	0.737604907557942	0.383805588604639	0.945861658117524
244	"G#-B-D#-F#-A#"	"m9"	5	"low"	0.749280559138855	0.361057787014145	0.897771670367782
245	"A-C-E-G-B"	"m9"	5	"low"	0.568872887447874	0.270628682685677	0.963127749512528
246	"A#-C#-F-G#-C"	"m9"	5	"low"	0.695615905014126	0.418360608933242	1.05828745623395
247	"B-D-F#-A-C#"	"m9"	5	"low"	0.590137865321202	0.330217991596041	1.04464758834812
248	"C-D#-G-A#-D"	"m9"	5	"low"	0.695361835280589	0.360312157713975	1.06358569823227
249	"C#-E-G#-B-D#"	"m9"	5	"low"	0.584293840412168	1.08143533201816	0.884401588497461
250	"D-F-A-C-E"	"m9"	5	"low"	0.602725254867649	0.945460014160373	0.857254268606709
251	"D#-F#-A#-C#-F"	"m9"	5	"low"	0.559424044081941	0.993702728978107	0.92403078611634
252	"E-G-B-D-F#"	"m9"	5	"low"	0.577957540144014	0.842834932576828	0.919827842115003
253	"F-G#-C-D#-G"	"m9"	5	"low"	0.58257066769264	0.828185109787263	0.911450993226115
254	"G-B-D-F#-A"	"maj9"	5	"low"	0.573206167141998	0.65273414437686	0.846168293735115
255	"G#-C-D#-G-A#"	"maj9"	5	"low"	0.589985791619038	0.550697943604726	0.872850753766573
256	"A-C#-E-G#-B"	"maj9"	5	"low"	0.59169892379963	0.502262680120533	0.891050506545328
257	"A#-D-F-A-C"	"maj9"	5	"low"	0.595602729046329	0.429158756185911	0.903327174889531
258	"B-D#-F#-A#-C#"	"maj9"	5	"low"	0.578214049382704	0.523028678690478	0.956809646426599
259	"C-E-G-B-D"	"maj9"	5	"low"	0.582505736190361	0.586300092911283	1.00425552262287
260	"C#-F-G#-C-D#"	"maj9"	5	"low"	0.586109623531248	0.413856057445261	0.989305014271263
261	"D-F#-A-C#-E"	"maj9"	5	"low"	0.607347112775207	3.25396689763033	0.775261368471443
262	"D#-G-A#-D-F"	"maj9"	5	"low"	0.605601120191563	3.20722030617229	0.730728624846592
263	"E-G#-B-D#-F#"	"maj9"	5	"low"	0.61640430845884	2.01481191267627	0.775510109753907
264	"F-A-C-E-G"	"maj9"	5	"low"	0.623700385202052	1.81831669349019	0.767285650960643
265	"G-B-D-F-A"	"dom9"	5	"low"	0.600877362951097	1.91935636573352	0.760352075089957
266	"G#-C-D#-F#-A#"	"dom9"	5	"low"	0.619641482197109	1.94536880383101	0.773882198880056
267	"A-C#-E-G-B"	"dom9"	5	"low"	0.572665491974644	1.89153117008838	0.80577420089981
268	"A#-D-F-G#-C"	"dom9"	5	"low"	0.622038661279004	1.75828012512797	0.82577730387695
269	"B-D#-F#-A-C#"	"dom9"	5	"low"	0.571167035698424	1.62526685309906	0.835994607597432
270	"C-E-G-A#-D"	"dom9"	5	"low"	0.602723551395766	1.54535622418211	0.846130989854306
271	"C#-F-G#-B-D#"	"dom9"	5	"low"	0.575507383849914	1.06325618323722	0.865430935249455
272	"D-F#-A-C-E"	"dom9"	5	"low"	0.576961020524609	1.2249420248547	0.812034778503395
273	"D#-G-A#-C#-F"	"dom9"	5	"low"	0.550689791727349	1.00516232726683	0.884192643712446
274	"E-G#-B-D-F#"	"dom9"	5	"low"	0.581010440521306	2.62374826816452	0.797027067782408
275	"F-A-C-D#-G"	"dom9"	5	"low"	0.595938014158123	2.12057967951984	0.776105886856899
276	"G-G#-B-C#-E"	"neappenta"	5	"low"	0.520690268493954	2.21201237318672	0.819356994467286
277	"G#-A-C-D-F"	"neappenta"	5	"low"	0.546342433528747	1.94845183123897	0.85810335104136
278	"A-A#-C#-D#-F#"	"neappenta"	5	"low"	0.565935978299724	1.7298998864401	0.787368934308803
279	"A#-B-D-E-G"	"neappenta"	5	"low"	0.590579920954341	1.70641387569502	0.777363955381402
280	"B-C-D#-F-G#"	"neappenta"	5	"low"	0.608410782639108	1.5041446331024	0.838117933257258
281	"C-C#-E-F#-A"	"neappenta"	5	"low"	0.575013906201187	1.13531972459302	0.834015418767861
282	"C#-D-F-G-A#"	"neappenta"	5	"low"	0.608344570160648	0.993649234743304	0.781232337344336
